title, link 
 t_PandasExercises, /python/pandas/pandas_exercises.asp 
 t_SciPyExercises, /python/scipy/scipy_exercises.php 
 t_jQueryExercises, /jquery/jquery_exercises.asp 
 t_JavaExercises, /java/java_exercises.asp 
 t_BootstrapExercises, /bootstrap/bootstrap_exercises.asp 
 t_Bootstrap4Exercises, /bootstrap4/bootstrap_exercises.asp 
 t_C++Exercises, /cpp/cpp_exercises.asp 
 t_C#Exercises, /cs/cs_exercises.asp 
 t_RExercises, /r/r_exercises.asp 
 t_GitExercises, /git/git_exercises.asp 
 t_HTMLQuiz, /html/html_quiz.asp 
 t_CSSQuiz, /css/css_quiz.asp 
 t_JavaScriptQuiz, /js/js_quiz.asp 
 t_SQLQuiz, /sql/sql_quiz.asp 
 t_MySQLQuiz, /mysql/mysql_quiz.asp 
 t_PHPQuiz, /php/php_quiz.asp 
 t_PythonQuiz, /python/python_quiz.asp 
 t_NumPyQuiz, /python/numpy/numpy_quiz.asp 
 t_PandasQuiz, /python/pandas/pandas_quiz.asp 
 t_SciPyQuiz, /python/scipy/scipy_quiz.php 
 t_jQueryQuiz, /jquery/jquery_quiz.asp 
 t_JavaQuiz, /java/java_quiz.asp 
 t_BootstrapQuiz, /bootstrap/bootstrap_quiz.asp 
 t_Bootstrap4Quiz, /bootstrap4/bootstrap_quiz.asp 
 t_C++Quiz, /cpp/cpp_quiz.asp 
 t_C#Quiz, /cs/cs_quiz.asp 
 t_RQuiz, /r/r_quiz.asp 
 t_XMLQuiz, /xml/xml_quiz.asp 
 t_CyberSecurityQuiz, /cybersecurity/cybersecurity_quiz.php 
 t_AccessibilityQuiz, /accessibility/accessibility_quiz.php 
 t_HTMLCourse, https://courses.w3schools.com/courses/html 
 t_CSSCourse, https://courses.w3schools.com/courses/css 
 t_JavaScriptCourse, https://courses.w3schools.com/courses/javascript 
 t_FrontEndCourse, https://courses.w3schools.com/programs/front-end 
 t_SQLCourse, https://courses.w3schools.com/courses/sql 
 t_PythonCourse, https://courses.w3schools.com/courses/python 
 t_NumPyCourse, https://courses.w3schools.com/courses/numpy-fundamentals 
 t_PandasCourse, https://courses.w3schools.com/courses/pandas-fundamentals 
 t_jQueryCourse, https://courses.w3schools.com/courses/jquery 
 t_PHPCourse, https://courses.w3schools.com/courses/php 
 t_C#Course, https://courses.w3schools.com/courses/c-sharp 
 t_C++Course, https://courses.w3schools.com/courses/cplusplus 
 t_XMLCourse, https://courses.w3schools.com/courses/xml 
 t_RCourse, https://courses.w3schools.com/courses/r-fundamentals 
 t_CyberSecurityCourse, https://courses.w3schools.com/courses/introduction-to-cyber-security 
 t_AccessibilityCourse, https://courses.w3schools.com/courses/accessibility-fundamentals 
 t_LearnHTML, /html/default.asp 
 t_HTMLReference, /tags/default.asp 
 t_TryitYourself, /html/tryit.asp?filename=tryhtml_default 
 t_LearnCSS, /css/default.asp 
 t_CSSReference, /cssref/default.asp 
 t_TryitYourself, /css/tryit.asp?filename=trycss_default 
 t_LearnJavaScript, /js/default.asp 
 t_JavaScriptReference, /jsref/default.asp 
 t_TryitYourself, /js/tryit.asp?filename=tryjs_default 
 t_LearnPython, /python/default.asp 
 t_PythonReference, /python/python_reference.asp 
 t_TryitYourself, /python/trypython.asp?filename=demo_indentation 
 t_LearnSQL, /sql/default.asp 
 t_SQLReference, /sql/sql_ref_keywords.asp 
 t_TryitYourself, /sql/trysql.asp?filename=trysql_select_where 
 t_LearnPHP, /php/default.asp 
 t_LearnjQuery, /jquery/default.asp 
 t_LearnJava, /java/default.asp 
 t_LearnC++, /cpp/default.asp 
 t_LearnW3.CSS, /w3css/default.asp 
 t_LEARNBS3, /bootstrap/default.asp 
 t_LEARNBS4, /bootstrap4/default.asp 
 t_C#, /cs/default.asp 
 t_R, /r/default.asp 
 t_GIT, /git/default.asp 
 t_MySQL, /mysql/default.asp 
 t_NodeJS, /nodejs/default.asp 
 t_React, /react/default.asp 
